customer_id,months_observed,attrition_event,onboarding_completion,monthly_active_days,product_adoption_count,support_tickets_90d,support_resolution_days,service_incidents_90d,tenure_at_start,auto_renew_flag,enterprise_flag,monthly_active_days_x_product_adoption_count,support_tickets_90d_x_support_resolution_days,onboarding_completion_sq
CUST-0000001,8.4703,0,0.481173,14.3676,4,3,2.6116,1,13.9771,1,1,57.4704,7.8348,0.231527455929
CUST-0000002,6.6486,1,0.79374,12.7308,6,1,3.4177,1,0.5,0,0,76.3848,3.4177,0.6300231876
CUST-0000003,13.4121,0,0.915017,21.6793,4,0,0.25,0,10.6933,1,1,86.7172,0.0,0.8372561102889999
CUST-0000004,16.5253,0,0.801906,19.0079,2,0,2.1289,0,11.2366,1,0,38.0158,0.0,0.643053232836
CUST-0000005,18.5943,0,0.839988,23.2834,4,0,0.2883,1,6.3076,1,0,93.1336,0.0,0.7055798401439999
CUST-0000006,9.5949,0,0.795891,12.6543,6,1,5.4642,1,21.6466,1,1,75.9258,5.4642,0.633442483881
CUST-0000007,18.0183,0,0.580624,16.998,5,1,2.6614,1,16.9833,1,1,84.99000000000001,2.6614,0.337124229376
CUST-0000008,16.5381,0,0.955348,28.7026,8,1,2.1317,0,20.3686,1,1,229.6208,2.1317,0.912689801104
CUST-0000009,18.6745,0,0.695024,14.5259,5,0,1.0076,2,19.0112,1,0,72.62950000000001,0.0,0.483058360576
CUST-0000010,18.0498,0,0.720445,14.6218,7,2,3.9369,0,16.874,1,0,102.3526,7.8738,0.519040998025
CUST-0000011,0.1738,1,0.619506,12.5582,6,1,6.9836,1,11.6281,1,0,75.3492,6.9836,0.383787684036
CUST-0000012,0.2686,1,0.801888,22.9178,3,1,3.4458,0,15.0481,1,1,68.7534,3.4458,0.643024364544
CUST-0000013,15.7133,0,0.760494,14.8038,3,2,3.2406,1,6.139,1,0,44.4114,6.4812,0.578351124036
CUST-0000014,15.8952,0,0.848935,20.9646,4,0,1.1981,1,13.1305,1,1,83.8584,0.0,0.720690634225
CUST-0000015,10.1746,0,0.776799,18.7179,7,2,2.7015,0,15.3118,1,0,131.02530000000002,5.403,0.603416686401
CUST-0000016,9.1775,0,0.831111,25.1851,5,1,1.0882,0,7.9988,1,0,125.9255,1.0882,0.6907454943210001
CUST-0000017,18.1409,0,0.86481,24.9929,3,3,3.2975,3,9.9018,1,0,74.9787,9.8925,0.7478963361
CUST-0000018,17.6877,1,0.936189,16.919,1,1,2.2953,0,2.5709,1,0,16.919,2.2953,0.8764498437210001
CUST-0000019,21.0236,0,0.909356,22.6318,8,0,3.1152,0,8.7178,1,1,181.0544,0.0,0.8269283347360001
CUST-0000020,19.4893,0,0.894409,22.1967,5,1,2.902,1,12.5509,1,0,110.98349999999999,2.902,0.799967459281
CUST-0000021,14.1488,1,0.543579,14.4295,4,3,1.3342,2,14.677,1,1,57.718,4.0026,0.29547812924100003
CUST-0000022,0.9061,1,0.479765,20.4106,5,2,2.9973,2,13.726,1,0,102.053,5.9946,0.230174455225
CUST-0000023,19.8938,0,0.897669,19.0664,7,1,0.8727,0,33.9996,1,1,133.46480000000003,0.8727,0.8058096335610001
CUST-0000024,14.3302,0,0.92595,23.7865,1,0,0.9227,0,14.7413,1,1,23.7865,0.0,0.8573834025000001
CUST-0000025,18.1238,0,0.576516,15.0687,4,0,0.3453,0,10.1266,1,1,60.2748,0.0,0.332370698256
CUST-0000026,16.5379,0,0.73945,14.3035,3,1,2.2448,1,11.2384,1,0,42.9105,2.2448,0.5467863025
CUST-0000027,7.534,1,0.303296,10.3371,2,1,1.4638,0,44.1019,1,0,20.6742,1.4638,0.09198846361600001
