customer_id,Scenario_Name,Scenario_Type,Baseline_Partial_Hazard,Scenario_Partial_Hazard,Partial_Hazard_Delta,Relative_Partial_Hazard_Change
CUST-0000001,No-Change Control,CONTROL,2.779589622623087,2.779589622623087,0.0,0.0
CUST-0000011,No-Change Control,CONTROL,2.713903754632449,2.713903754632449,0.0,0.0
CUST-0000027,No-Change Control,CONTROL,3.4447570550303026,3.4447570550303026,0.0,0.0
CUST-0000029,No-Change Control,CONTROL,2.7851843527800533,2.7851843527800533,0.0,0.0
CUST-0000038,No-Change Control,CONTROL,4.845831850498696,4.845831850498696,0.0,0.0
CUST-0000040,No-Change Control,CONTROL,3.362181464886961,3.362181464886961,0.0,0.0
CUST-0000042,No-Change Control,CONTROL,5.17261640199267,5.17261640199267,0.0,0.0
CUST-0000048,No-Change Control,CONTROL,6.011246120316804,6.011246120316804,0.0,0.0
CUST-0000050,No-Change Control,CONTROL,11.171944961429302,11.171944961429302,0.0,0.0
CUST-0000051,No-Change Control,CONTROL,9.50297723028198,9.50297723028198,0.0,0.0
CUST-0000058,No-Change Control,CONTROL,43.58545948027748,43.58545948027748,0.0,0.0
CUST-0000061,No-Change Control,CONTROL,6.77469776816234,6.77469776816234,0.0,0.0
CUST-0000063,No-Change Control,CONTROL,22.966187391062714,22.966187391062714,0.0,0.0
CUST-0000069,No-Change Control,CONTROL,19.707405693145763,19.707405693145763,0.0,0.0
CUST-0000074,No-Change Control,CONTROL,11.347868331111664,11.347868331111664,0.0,0.0
CUST-0000076,No-Change Control,CONTROL,3.7557844440871206,3.7557844440871206,0.0,0.0
CUST-0000086,No-Change Control,CONTROL,4.037172201487122,4.037172201487122,0.0,0.0
CUST-0000089,No-Change Control,CONTROL,9.092648377850045,9.092648377850045,0.0,0.0
CUST-0000090,No-Change Control,CONTROL,5.862010871411919,5.862010871411919,0.0,0.0
CUST-0000092,No-Change Control,CONTROL,276.73616565093926,276.73616565093926,0.0,0.0
CUST-0000093,No-Change Control,CONTROL,3.4248672816936776,3.4248672816936776,0.0,0.0
CUST-0000098,No-Change Control,CONTROL,6.728631371482779,6.728631371482779,0.0,0.0
CUST-0000099,No-Change Control,CONTROL,4.3261315241019656,4.3261315241019656,0.0,0.0
CUST-0000113,No-Change Control,CONTROL,33.127582628570245,33.127582628570245,0.0,0.0
CUST-0000114,No-Change Control,CONTROL,6.488252185254442,6.488252185254442,0.0,0.0
CUST-0000115,No-Change Control,CONTROL,3.1069867942911005,3.1069867942911005,0.0,0.0
CUST-0000118,No-Change Control,CONTROL,3.7751550080054526,3.7751550080054526,0.0,0.0
CUST-0000127,No-Change Control,CONTROL,5.259688284232495,5.259688284232495,0.0,0.0
CUST-0000128,No-Change Control,CONTROL,4.816339035371651,4.816339035371651,0.0,0.0
CUST-0000129,No-Change Control,CONTROL,8.273766126049672,8.273766126049672,0.0,0.0
CUST-0000130,No-Change Control,CONTROL,21.345440426130775,21.345440426130775,0.0,0.0
CUST-0000158,No-Change Control,CONTROL,6.421196146600674,6.421196146600674,0.0,0.0
CUST-0000162,No-Change Control,CONTROL,53.11035043614267,53.11035043614267,0.0,0.0
CUST-0000166,No-Change Control,CONTROL,3.3485480171423223,3.3485480171423223,0.0,0.0
CUST-0000167,No-Change Control,CONTROL,3.0223865791986975,3.0223865791986975,0.0,0.0
CUST-0000169,No-Change Control,CONTROL,30.654262722645456,30.654262722645456,0.0,0.0
CUST-0000173,No-Change Control,CONTROL,4.151649063276814,4.151649063276814,0.0,0.0
CUST-0000176,No-Change Control,CONTROL,4.673220938632023,4.673220938632023,0.0,0.0
CUST-0000178,No-Change Control,CONTROL,4.08543922837329,4.08543922837329,0.0,0.0
CUST-0000179,No-Change Control,CONTROL,3.066410367574709,3.066410367574709,0.0,0.0
CUST-0000192,No-Change Control,CONTROL,3.6265421321255067,3.6265421321255067,0.0,0.0
CUST-0000199,No-Change Control,CONTROL,7.690368614490403,7.690368614490403,0.0,0.0
CUST-0000210,No-Change Control,CONTROL,4.286223869675762,4.286223869675762,0.0,0.0
CUST-0000212,No-Change Control,CONTROL,5.369087455360363,5.369087455360363,0.0,0.0
CUST-0000225,No-Change Control,CONTROL,6.0654124349000655,6.0654124349000655,0.0,0.0
CUST-0000242,No-Change Control,CONTROL,4.248365820445325,4.248365820445325,0.0,0.0
CUST-0000250,No-Change Control,CONTROL,48.40013187130363,48.40013187130363,0.0,0.0
CUST-0000253,No-Change Control,CONTROL,3.612867791024771,3.612867791024771,0.0,0.0
CUST-0000254,No-Change Control,CONTROL,4.744715992747137,4.744715992747137,0.0,0.0
CUST-0000256,No-Change Control,CONTROL,2.533205186441698,2.533205186441698,0.0,0.0
CUST-0000258,No-Change Control,CONTROL,14.252209031403552,14.252209031403552,0.0,0.0
CUST-0000259,No-Change Control,CONTROL,5.991738923866059,5.991738923866059,0.0,0.0
CUST-0000261,No-Change Control,CONTROL,2.853636745127152,2.853636745127152,0.0,0.0
CUST-0000269,No-Change Control,CONTROL,9.983198781170946,9.983198781170946,0.0,0.0
CUST-0000271,No-Change Control,CONTROL,3.6674144567313918,3.6674144567313918,0.0,0.0
CUST-0000274,No-Change Control,CONTROL,4.359946610989077,4.359946610989077,0.0,0.0
CUST-0000278,No-Change Control,CONTROL,27.147839740994918,27.147839740994918,0.0,0.0
CUST-0000281,No-Change Control,CONTROL,12.703066486759772,12.703066486759772,0.0,0.0
CUST-0000284,No-Change Control,CONTROL,11.698427118626961,11.698427118626961,0.0,0.0
CUST-0000290,No-Change Control,CONTROL,7.055310654612255,7.055310654612255,0.0,0.0
CUST-0000291,No-Change Control,CONTROL,2.638663406174581,2.638663406174581,0.0,0.0
CUST-0000293,No-Change Control,CONTROL,3.4758169173077533,3.4758169173077533,0.0,0.0
CUST-0000306,No-Change Control,CONTROL,5.264745337179276,5.264745337179276,0.0,0.0
CUST-0000312,No-Change Control,CONTROL,6.670747910479438,6.670747910479438,0.0,0.0
CUST-0000313,No-Change Control,CONTROL,3.328878761883851,3.328878761883851,0.0,0.0
CUST-0000318,No-Change Control,CONTROL,2.7146993922110267,2.7146993922110267,0.0,0.0
CUST-0000320,No-Change Control,CONTROL,2.8145804190906354,2.8145804190906354,0.0,0.0
CUST-0000322,No-Change Control,CONTROL,27.608189722802265,27.608189722802265,0.0,0.0
CUST-0000323,No-Change Control,CONTROL,15.782933686164405,15.782933686164405,0.0,0.0
CUST-0000324,No-Change Control,CONTROL,6.308492839390948,6.308492839390948,0.0,0.0
CUST-0000326,No-Change Control,CONTROL,4.071914123935726,4.071914123935726,0.0,0.0
CUST-0000327,No-Change Control,CONTROL,14.99733091276924,14.99733091276924,0.0,0.0
CUST-0000330,No-Change Control,CONTROL,5.586356366669997,5.586356366669997,0.0,0.0
CUST-0000336,No-Change Control,CONTROL,59.22724554941551,59.22724554941551,0.0,0.0
CUST-0000337,No-Change Control,CONTROL,4.638100444972982,4.638100444972982,0.0,0.0
CUST-0000349,No-Change Control,CONTROL,21.581280779667512,21.581280779667512,0.0,0.0
CUST-0000359,No-Change Control,CONTROL,6.801696803573712,6.801696803573712,0.0,0.0
CUST-0000363,No-Change Control,CONTROL,17.920807941171837,17.920807941171837,0.0,0.0
CUST-0000364,No-Change Control,CONTROL,21.591682843985865,21.591682843985865,0.0,0.0
CUST-0000369,No-Change Control,CONTROL,7.325093715884553,7.325093715884553,0.0,0.0
CUST-0000384,No-Change Control,CONTROL,7.84183721269617,7.84183721269617,0.0,0.0
CUST-0000393,No-Change Control,CONTROL,2.9008062588982066,2.9008062588982066,0.0,0.0
CUST-0000399,No-Change Control,CONTROL,8.386195552228918,8.386195552228918,0.0,0.0
CUST-0000400,No-Change Control,CONTROL,4.4520672680633195,4.4520672680633195,0.0,0.0
CUST-0000401,No-Change Control,CONTROL,3.9132496312107277,3.9132496312107277,0.0,0.0
CUST-0000404,No-Change Control,CONTROL,4.2010361736191,4.2010361736191,0.0,0.0
CUST-0000405,No-Change Control,CONTROL,3.377888482571462,3.377888482571462,0.0,0.0
