customer_id,Segment_ID,Persona,Risk_Tier,Partial_Hazard,Risk_Percentile,onboarding_completion,monthly_active_days,product_adoption_count,support_tickets_90d,support_resolution_days,service_incidents_90d,tenure_at_start,auto_renew_flag
CUST-0000001,0,Service-Friction Risk,High Risk (Top 25%),2.779589622623087,0.7686666666666667,0.481173,14.3676,4,3,2.6116,1,13.9771,1
CUST-0000011,0,Service-Friction Risk,High Risk (Top 25%),2.713903754632449,0.764,0.619506,12.5582,6,1,6.9836,1,11.6281,1
CUST-0000027,2,Low-Engagement Risk,High Risk (Top 25%),3.4447570550303026,0.8108,0.303296,10.3371,2,1,1.4638,0,44.1019,1
CUST-0000029,2,Low-Engagement Risk,High Risk (Top 25%),2.7851843527800533,0.7692,0.490933,13.4121,5,2,1.9537,1,1.726,1
CUST-0000038,0,Service-Friction Risk,High Risk (Top 25%),4.845831850498696,0.8688,0.734214,17.3373,4,3,8.7673,1,4.8754,1
CUST-0000040,0,Service-Friction Risk,High Risk (Top 25%),3.362181464886961,0.8056,0.389284,17.5936,7,3,5.936,0,25.1853,1
CUST-0000042,2,Low-Engagement Risk,High Risk (Top 25%),5.17261640199267,0.8761333333333333,0.478979,11.4841,1,0,1.639,0,7.8505,0
CUST-0000048,2,Low-Engagement Risk,High Risk (Top 25%),6.011246120316804,0.894,0.454642,12.5691,3,2,3.7297,1,4.0916,1
CUST-0000050,2,Low-Engagement Risk,High Risk (Top 25%),11.171944961429302,0.9473333333333334,0.416881,15.3433,1,3,2.0075,1,23.1036,0
CUST-0000051,0,Service-Friction Risk,High Risk (Top 25%),9.50297723028198,0.9357333333333333,0.364017,16.2461,1,4,3.1976,1,16.7986,1
CUST-0000058,0,Service-Friction Risk,High Risk (Top 25%),43.58545948027748,0.9929333333333333,0.450416,13.3713,1,5,6.0871,3,7.3597,1
CUST-0000061,0,Service-Friction Risk,High Risk (Top 25%),6.77469776816234,0.9076,0.58053,15.5192,7,7,4.2956,2,18.6889,1
CUST-0000063,0,Service-Friction Risk,High Risk (Top 25%),22.966187391062714,0.9801333333333333,0.434152,12.523,3,2,7.2143,1,20.8714,0
CUST-0000069,0,Service-Friction Risk,High Risk (Top 25%),19.707405693145763,0.9736,0.673097,12.637,1,3,6.5629,1,2.415,0
CUST-0000074,0,Service-Friction Risk,High Risk (Top 25%),11.347868331111664,0.9485333333333333,0.538526,9.1167,2,3,4.2263,2,5.8389,1
CUST-0000076,2,Low-Engagement Risk,High Risk (Top 25%),3.7557844440871206,0.8273333333333334,0.567206,4.3576,4,0,2.5085,1,5.8757,1
CUST-0000086,2,Low-Engagement Risk,High Risk (Top 25%),4.037172201487122,0.8384,0.552216,11.684,2,3,2.6923,0,7.8214,1
CUST-0000089,0,Service-Friction Risk,High Risk (Top 25%),9.092648377850045,0.9325333333333333,0.415812,14.7617,6,5,5.2308,0,5.763,1
CUST-0000090,2,Low-Engagement Risk,High Risk (Top 25%),5.862010871411919,0.8906666666666667,0.461428,17.4798,1,2,5.4401,0,7.1332,1
CUST-0000092,0,Service-Friction Risk,High Risk (Top 25%),276.73616565093926,0.9996,0.138638,2.1103,1,6,3.8561,2,9.8543,0
CUST-0000093,2,Low-Engagement Risk,High Risk (Top 25%),3.4248672816936776,0.8086666666666666,0.618449,11.3751,1,1,1.8899,2,6.1755,1
CUST-0000098,0,Service-Friction Risk,High Risk (Top 25%),6.728631371482779,0.9069333333333334,0.258586,18.9926,3,3,3.6247,1,17.9953,1
CUST-0000099,2,Low-Engagement Risk,High Risk (Top 25%),4.3261315241019656,0.8506666666666667,0.54399,14.4391,2,1,6.4983,0,4.8315,1
CUST-0000113,0,Service-Friction Risk,High Risk (Top 25%),33.127582628570245,0.9890666666666666,0.376607,13.7147,2,5,5.6054,2,6.9948,1
CUST-0000114,2,Low-Engagement Risk,High Risk (Top 25%),6.488252185254442,0.9029333333333334,0.471101,13.552,1,2,5.0833,0,12.6031,1
CUST-0000115,2,Low-Engagement Risk,High Risk (Top 25%),3.1069867942911005,0.7914666666666667,0.317115,16.3117,4,1,2.6808,0,6.5359,1
CUST-0000118,2,Low-Engagement Risk,High Risk (Top 25%),3.7751550080054526,0.8285333333333333,0.50478,15.3106,3,2,3.3113,1,4.0873,1
CUST-0000127,2,Low-Engagement Risk,High Risk (Top 25%),5.259688284232495,0.8778666666666667,0.692296,17.0814,1,3,3.4869,0,5.2782,0
CUST-0000128,2,Low-Engagement Risk,High Risk (Top 25%),4.816339035371651,0.868,0.530219,16.5018,2,3,4.5029,0,3.7794,1
CUST-0000129,2,Low-Engagement Risk,High Risk (Top 25%),8.273766126049672,0.9258666666666666,0.301444,13.0575,4,3,3.824,0,5.5754,1
CUST-0000130,0,Service-Friction Risk,High Risk (Top 25%),21.345440426130775,0.9762666666666666,0.473376,19.4435,1,3,7.7083,0,18.6318,0
CUST-0000158,0,Service-Friction Risk,High Risk (Top 25%),6.421196146600674,0.9024,0.765513,16.4049,1,3,8.1927,1,4.4456,1
CUST-0000162,0,Service-Friction Risk,High Risk (Top 25%),53.11035043614267,0.9948,0.308602,8.6213,1,4,4.7625,1,12.9341,0
CUST-0000166,2,Low-Engagement Risk,High Risk (Top 25%),3.3485480171423223,0.8048,0.55768,17.5057,1,2,3.3204,1,9.8864,1
CUST-0000167,2,Low-Engagement Risk,High Risk (Top 25%),3.0223865791986975,0.7852,0.392376,12.8759,5,3,2.3277,0,7.7957,1
CUST-0000169,0,Service-Friction Risk,High Risk (Top 25%),30.654262722645456,0.9878666666666667,0.389129,8.9789,1,5,4.6871,1,9.1651,1
CUST-0000173,2,Low-Engagement Risk,High Risk (Top 25%),4.151649063276814,0.8432,0.469713,8.8304,2,1,2.2144,0,7.7768,1
CUST-0000176,0,Service-Friction Risk,High Risk (Top 25%),4.673220938632023,0.8632,0.583902,14.5169,2,3,3.8343,1,7.5754,1
CUST-0000178,2,Low-Engagement Risk,High Risk (Top 25%),4.08543922837329,0.8404,0.465385,11.123,1,1,2.9829,1,13.0491,1
CUST-0000179,2,Low-Engagement Risk,High Risk (Top 25%),3.066410367574709,0.7881333333333334,0.70943,14.0013,1,2,3.1508,0,16.5587,0
CUST-0000192,2,Low-Engagement Risk,High Risk (Top 25%),3.6265421321255067,0.8212,0.491195,11.2372,7,3,4.1919,0,11.9715,1
CUST-0000199,0,Service-Friction Risk,High Risk (Top 25%),7.690368614490403,0.9190666666666667,0.306637,15.5605,4,2,4.9239,1,8.3584,1
CUST-0000210,2,Low-Engagement Risk,High Risk (Top 25%),4.286223869675762,0.8485333333333334,0.414236,11.3971,4,1,4.8504,0,16.879,1
CUST-0000212,0,Service-Friction Risk,High Risk (Top 25%),5.369087455360363,0.8806666666666667,0.568315,22.0925,1,3,4.6687,2,2.4044,1
CUST-0000225,2,Low-Engagement Risk,High Risk (Top 25%),6.0654124349000655,0.8946666666666667,0.334029,11.0291,2,2,2.1151,0,11.467,1
CUST-0000242,2,Low-Engagement Risk,High Risk (Top 25%),4.248365820445325,0.8474666666666667,0.441895,9.4002,3,3,2.3193,0,11.0953,1
CUST-0000250,0,Service-Friction Risk,High Risk (Top 25%),48.40013187130363,0.994,0.36417,12.6023,2,2,8.2606,1,5.6423,0
CUST-0000253,0,Service-Friction Risk,High Risk (Top 25%),3.612867791024771,0.82,0.630198,21.991,3,2,9.4702,0,5.848,1
CUST-0000254,0,Service-Friction Risk,High Risk (Top 25%),4.744715992747137,0.8656,0.587014,20.3312,4,3,8.185,1,20.7272,1
CUST-0000256,0,Service-Friction Risk,High Risk (Top 25%),2.533205186441698,0.7509333333333333,0.68933,16.1719,2,2,3.9568,3,11.6646,1
CUST-0000258,2,Low-Engagement Risk,High Risk (Top 25%),14.252209031403552,0.9602666666666667,0.449019,6.0424,2,2,2.672,0,18.2248,0
CUST-0000259,2,Low-Engagement Risk,High Risk (Top 25%),5.991738923866059,0.8933333333333333,0.393388,9.1413,1,0,3.4696,0,3.8665,1
CUST-0000261,2,Low-Engagement Risk,High Risk (Top 25%),2.853636745127152,0.7741333333333333,0.66347,17.0437,1,1,2.1254,0,10.3159,0
CUST-0000269,2,Low-Engagement Risk,High Risk (Top 25%),9.983198781170946,0.9409333333333333,0.300826,6.681,2,0,3.1124,1,4.0709,1
CUST-0000271,0,Service-Friction Risk,High Risk (Top 25%),3.6674144567313918,0.824,0.588676,12.1483,3,1,3.8775,2,9.1701,1
CUST-0000274,0,Service-Friction Risk,High Risk (Top 25%),4.359946610989077,0.852,0.607328,13.8837,6,1,4.0026,2,12.8982,0
CUST-0000278,2,Low-Engagement Risk,High Risk (Top 25%),27.147839740994918,0.9853333333333333,0.154068,8.2938,1,2,2.3747,0,25.538,0
CUST-0000281,0,Service-Friction Risk,High Risk (Top 25%),12.703066486759772,0.9545333333333333,0.420301,11.3715,2,2,6.1774,1,8.0206,1
CUST-0000284,2,Low-Engagement Risk,High Risk (Top 25%),11.698427118626961,0.9505333333333333,0.172312,8.1265,2,2,1.7942,1,23.439,1
CUST-0000290,2,Low-Engagement Risk,High Risk (Top 25%),7.055310654612255,0.9114666666666666,0.482915,8.9553,3,4,3.1065,0,13.344,1
CUST-0000291,0,Service-Friction Risk,High Risk (Top 25%),2.638663406174581,0.7592,0.845722,17.5043,1,2,9.2505,1,7.8983,1
CUST-0000293,0,Service-Friction Risk,High Risk (Top 25%),3.4758169173077533,0.8128,0.688625,12.2444,3,2,5.6548,2,8.3794,1
CUST-0000306,2,Low-Engagement Risk,High Risk (Top 25%),5.264745337179276,0.878,0.585634,14.3371,2,2,7.2502,0,14.5039,1
CUST-0000312,2,Low-Engagement Risk,High Risk (Top 25%),6.670747910479438,0.906,0.477783,9.0862,2,3,2.5614,0,1.646,1
CUST-0000313,2,Low-Engagement Risk,High Risk (Top 25%),3.328878761883851,0.8038666666666666,0.625344,21.3957,1,1,3.6011,0,4.2779,0
CUST-0000318,2,Low-Engagement Risk,High Risk (Top 25%),2.7146993922110267,0.7641333333333333,0.490006,13.3724,3,1,1.8028,1,10.0939,1
CUST-0000320,2,Low-Engagement Risk,High Risk (Top 25%),2.8145804190906354,0.7710666666666667,0.308044,16.3365,4,2,1.7431,1,14.4167,1
CUST-0000322,0,Service-Friction Risk,High Risk (Top 25%),27.608189722802265,0.9856,0.407754,13.9142,3,3,5.6528,1,4.6092,0
CUST-0000323,0,Service-Friction Risk,High Risk (Top 25%),15.782933686164405,0.9646666666666667,0.526035,7.57,3,3,1.7791,2,5.8039,0
